year,median,min,max,q25,q75,n_scenes,median_t005,median_norm,min_norm,max_norm,median_veg
2019,284.8,215.4,338.3,254.2,310.0,27,205.4,391.4,384.6,410.4,131.4
2020,278.2,218.2,342.6,257.8,317.1,25,210.0,398.9,382.3,411.8,144.7
2021,351.4,280.0,427.3,329.1,379.7,29,263.9,408.7,388.9,416.3,90.2
2022,324.3,263.4,371.3,306.7,345.6,25,240.5,403.2,390.6,415.4,113.8
2023,352.6,262.9,400.4,321.5,372.2,25,247.3,406.3,392.2,414.4,96.2
2024,326.4,271.3,377.1,309.8,332.2,24,249.2,410.0,389.1,415.4,131.6
2025,369.4,282.9,430.8,334.9,388.3,33,268.2,412.4,390.9,422.1,82.6
